iter	F1	Logloss
0	0.6461564978	0.6830638906
1	0.6346897441	0.6730393251
2	0.6179107295	0.6634931995
3	0.6138763198	0.6537588881
4	0.6167749223	0.644265094
5	0.6229784052	0.6355239055
6	0.6260853501	0.6261801277
7	0.6314921682	0.618332571
8	0.6316368638	0.6093365586
9	0.6290322581	0.6017077128
10	0.6291114611	0.5943847306
11	0.626827012	0.5870078269
12	0.6269819193	0.5795376133
13	0.626566416	0.5719788813
14	0.6285185185	0.5655019671
15	0.6298701299	0.5590121372
16	0.6325624422	0.5523735235
17	0.632085067	0.546588271
18	0.6317345901	0.5409905824
19	0.6321722258	0.5344730767
20	0.6345676744	0.5288636311
21	0.6322687835	0.5234499983
22	0.6315108977	0.5180853254
23	0.6307222787	0.512952152
24	0.631015055	0.5072662699
25	0.6311316397	0.5027058405
26	0.6313555412	0.498140674
27	0.6309578685	0.4936553391
28	0.6309567787	0.4892659331
29	0.6335449443	0.4851707028
30	0.6323935876	0.4810970965
31	0.6341015517	0.4771037753
32	0.633060436	0.4734627874
33	0.6346524653	0.4694217345
34	0.6356873909	0.465246034
35	0.6387185355	0.4613827647
36	0.6392035075	0.4580658368
37	0.6384263495	0.4541835776
38	0.6393143691	0.4504637408
39	0.6361215683	0.4473721849
40	0.6383679444	0.4442162725
41	0.638964826	0.4409132872
42	0.6368878719	0.4380175545
43	0.6390261761	0.4352460952
44	0.6395901939	0.4323920688
45	0.6394944129	0.429536622
46	0.6393262541	0.4274705049
47	0.639882859	0.4249960572
48	0.6401317595	0.4226592291
49	0.6404977583	0.4203617259
50	0.6401685136	0.4185031085
51	0.6401830664	0.4158514429
52	0.6401980561	0.4146100673
53	0.6404257271	0.4124696253
54	0.6403669725	0.4103189281
55	0.6404844926	0.4083596718
56	0.6401912116	0.4061839927
57	0.6402427809	0.4043453041
58	0.6398675375	0.4021155972
59	0.640095729	0.4004712563
60	0.6399116348	0.3987612594
61	0.6400736988	0.3972961051
62	0.6404867257	0.3957371276
63	0.6395198523	0.3942229302
64	0.6389941758	0.393144259
65	0.6392305558	0.3914358334
66	0.6390609114	0.3898923497
67	0.6394897393	0.3885418787
68	0.6398003512	0.3873905242
69	0.6392896781	0.3857962358
70	0.6391638146	0.3844583655
71	0.6396888601	0.3829897196
72	0.6394885574	0.3817297654
73	0.63960708	0.3806142284
