iter	Passed	Remaining
0	55	111230
1	84	84791
2	105	70070
3	134	67059
4	159	63610
5	179	59684
6	203	58022
7	243	60614
8	265	58679
9	293	58431
10	317	57415
11	342	56791
12	375	57344
13	398	56487
14	417	55279
15	433	53749
16	449	52430
17	467	51489
18	483	50384
19	506	50105
20	522	49205
21	538	48392
22	562	48370
23	584	48121
24	607	47987
25	639	48563
26	663	48503
27	687	48391
28	719	48915
29	750	49257
30	778	49433
31	801	49308
32	826	49267
33	849	49121
34	876	49195
35	909	49592
36	938	49774
37	960	49583
38	990	49821
39	1030	50483
40	1047	50063
41	1067	49756
42	1084	49366
43	1100	48906
44	1115	48473
45	1131	48064
46	1148	47717
47	1164	47361
48	1183	47123
49	1199	46779
50	1215	46447
51	1231	46145
52	1248	45857
53	1275	45959
54	1306	46215
55	1337	46443
56	1366	46577
57	1391	46592
58	1414	46525
59	1452	46979
60	1533	48748
61	1590	49721
62	1661	51082
63	1710	51751
64	1757	52332
65	1817	53264
66	1835	52953
67	1853	52672
68	1870	52349
69	1887	52037
70	1909	51870
71	1937	51882
72	1966	51910
73	1994	51903
74	2016	51759
75	2037	51581
76	2065	51594
77	2096	51667
78	2115	51453
79	2138	51318
80	2153	51026
81	2169	50753
82	2194	50681
83	2229	50861
84	2262	50962
85	2283	50824
86	2311	50833
87	2334	50722
88	2366	50814
89	2389	50714
90	2417	50723
91	2448	50787
92	2476	50776
93	2497	50640
94	2532	50780
95	2562	50823
96	2597	50967
97	2615	50770
98	2634	50582
99	2649	50340
100	2664	50092
101	2679	49865
102	2695	49635
103	2710	49418
104	2726	49201
105	2744	49044
106	2760	48829
107	2777	48651
108	2793	48470
109	2827	48577
110	2855	48592
111	2880	48556
112	2905	48519
113	2932	48520
114	2955	48448
115	2980	48415
116	3000	48284
117	3031	48343
118	3052	48245
119	3073	48144
120	3090	47985
121	3106	47818
122	3121	47638
123	3137	47472
124	3157	47368
125	3181	47324
126	3206	47289
127	3235	47316
128	3256	47230
129	3297	47426
130	3325	47442
131	3351	47423
132	3372	47335
133	3392	47246
134	3421	47265
135	3448	47270
136	3551	48296
137	3593	48481
138	3632	48635
139	3683	48931
140	3728	49156
141	3760	49198
142	3775	49028
143	3791	48863
144	3806	48697
145	3820	48516
146	3835	48344
147	3850	48187
148	3867	48042
149	3882	47889
150	3897	47730
151	3913	47580
152	3928	47423
153	3943	47275
154	3959	47134
155	3974	46986
156	3990	46843
157	4012	46776
158	4044	46826
159	4069	46801
160	4089	46710
161	4114	46681
162	4144	46709
163	4178	46782
164	4204	46755
165	4224	46668
166	4242	46562
167	4263	46497
168	4279	46362
169	4295	46238
170	4312	46121
171	4332	46041
172	4346	45903
173	4363	45789
174	4375	45634
175	4392	45526
176	4409	45412
177	4426	45311
178	4442	45191
179	4458	45076
180	4473	44955
181	4488	44833
182	4503	44711
183	4522	44637
184	4538	44524
185	4553	44406
186	4568	44293
187	4584	44191
188	4600	44082
189	4615	43972
190	4631	43863
191	4646	43757
192	4664	43670
193	4679	43566
194	4695	43459
195	4714	43395
196	4740	43383
197	4771	43421
198	4798	43431
199	4827	43444
200	4850	43415
201	4868	43331
202	4883	43229
203	4899	43130
204	4913	43024
205	4933	42966
206	4948	42863
207	4963	42761
208	4978	42661
209	4993	42567
210	5008	42469
211	5024	42376
212	5042	42309
213	5058	42215
214	5075	42138
215	5097	42102
216	5121	42084
217	5159	42176
218	5181	42136
219	5209	42151
220	5235	42143
221	5256	42095
222	5281	42082
223	5305	42063
224	5327	42025
225	5353	42024
226	5369	41939
227	5386	41866
228	5405	41803
229	5426	41758
230	5443	41683
231	5458	41598
232	5474	41513
233	5490	41440
234	5508	41376
235	5523	41288
236	5539	41204
237	5554	41120
238	5569	41039
239	5584	40956
240	5600	40879
241	5616	40800
242	5631	40719
243	5648	40647
244	5669	40612
245	5687	40554
246	5705	40495
247	5729	40473
248	5759	40498
249	5785	40497
250	5808	40474
251	5835	40481
252	5862	40480
253	5879	40414
254	5894	40339
255	5910	40264
256	5927	40199
257	5942	40122
258	5957	40049
259	5974	39982
260	5989	39907
261	6007	39850
262	6022	39777
263	6036	39694
264	6051	39617
265	6066	39545
266	6087	39509
267	6104	39451
268	6118	39372
269	6137	39325
270	6157	39287
271	6175	39234
272	6191	39167
273	6207	39099
274	6222	39033
275	6238	38966
276	6254	38901
277	6268	38830
278	6286	38778
279	6302	38715
280	6317	38646
281	6333	38582
282	6346	38505
283	6362	38443
284	6378	38380
285	6393	38315
286	6408	38250
287	6424	38192
288	6439	38125
289	6454	38059
290	6469	37997
291	6485	37933
292	6500	37870
293	6515	37808
294	6531	37747
295	6549	37703
296	6566	37654
297	6581	37592
298	6597	37530
299	6612	37469
300	6627	37409
301	6641	37341
302	6656	37278
303	6670	37216
304	6684	37150
305	6700	37093
306	6715	37035
307	6731	36980
308	6747	36924
309	6762	36865
310	6779	36818
311	6795	36762
312	6811	36711
313	6826	36653
314	6843	36606
315	6860	36559
316	6876	36507
317	6891	36453
318	6905	36390
319	6920	36335
320	6935	36276
321	6950	36221
322	6973	36207
323	6990	36159
324	7005	36106
325	7021	36057
326	7039	36016
327	7058	35979
328	7076	35939
329	7093	35899
330	7112	35862
331	7128	35813
332	7144	35765
333	7160	35719
334	7177	35673
335	7196	35639
336	7211	35589
337	7227	35536
338	7242	35488
339	7258	35438
340	7273	35388
341	7291	35347
342	7306	35295
343	7321	35246
344	7337	35199
345	7353	35151
346	7373	35122
347	7389	35078
348	7404	35030
349	7420	34982
350	7435	34931
351	7450	34883
352	7466	34834
353	7480	34780
354	7495	34733
355	7512	34693
356	7529	34651
357	7545	34607
358	7561	34561
359	7576	34516
360	7592	34472
361	7607	34423
362	7621	34372
363	7637	34326
364	7652	34279
365	7670	34243
366	7687	34207
367	7718	34230
368	7748	34246
369	7765	34209
370	7811	34297
371	7840	34312
372	7864	34302
373	7968	34642
374	8022	34762
375	8061	34818
376	8089	34825
377	8122	34854
378	8144	34833
379	8159	34786
380	8177	34748
381	8200	34733
382	8233	34759
383	8257	34751
384	8285	34754
385	8309	34742
386	8335	34742
387	8359	34731
388	8382	34715
389	8410	34722
390	8430	34693
391	8447	34650
392	8462	34604
393	8480	34569
394	8496	34523
395	8511	34477
396	8528	34435
397	8551	34419
398	8575	34410
399	8594	34379
400	8614	34349
401	8628	34299
402	8642	34249
403	8662	34219
404	8676	34171
405	8691	34123
406	8706	34077
407	8721	34030
408	8736	33984
409	8752	33940
410	8767	33898
411	8783	33855
412	8801	33821
413	8818	33781
414	8836	33750
415	8861	33740
416	8880	33710
417	8896	33671
418	8911	33626
419	8928	33587
420	8943	33544
421	8959	33501
422	8975	33460
423	8988	33411
424	9005	33374
425	9020	33327
426	9035	33286
427	9053	33251
428	9078	33244
429	9093	33203
430	9110	33164
431	9126	33124
432	9142	33087
433	9158	33047
434	9174	33007
435	9190	32966
436	9207	32930
437	9222	32888
438	9238	32850
439	9254	32809
440	9269	32767
441	9282	32720
442	9297	32676
443	9314	32641
444	9329	32601
445	9344	32559
446	9360	32519
447	9375	32478
448	9392	32443
449	9407	32403
450	9423	32364
451	9438	32325
452	9457	32297
453	9473	32260
454	9488	32220
455	9506	32187
456	9521	32149
457	9539	32117
458	9558	32090
459	9574	32052
460	9724	32464
461	9763	32501
462	9785	32483
463	9807	32465
464	9824	32430
465	9851	32429
466	9869	32396
467	9885	32360
468	9902	32325
469	9926	32314
470	9946	32288
471	9962	32251
472	9979	32217
473	9995	32180
474	10013	32147
475	10028	32109
476	10046	32077
477	10062	32039
478	10078	32004
479	10095	31969
480	10110	31928
481	10126	31892
482	10141	31853
483	10158	31817
484	10173	31777
485	10187	31735
486	10202	31695
487	10217	31657
488	10234	31623
489	10250	31586
490	10264	31546
491	10279	31506
492	10297	31476
493	10332	31498
494	10360	31499
495	10382	31482
496	10403	31461
497	10423	31439
498	10454	31448
499	10480	31441
500	10503	31427
501	10527	31413
502	10546	31387
503	10568	31368
504	10589	31348
505	10622	31362
506	10644	31345
507	10666	31328
508	10687	31307
509	10708	31284
510	10739	31293
511	10765	31288
512	10790	31276
513	10810	31254
514	10838	31252
515	10858	31229
516	10877	31202
517	10901	31189
518	10924	31172
519	10943	31147
520	10961	31117
521	10978	31084
522	10995	31052
523	11015	31028
524	11031	30993
525	11047	30957
526	11061	30918
527	11077	30883
528	11092	30845
529	11106	30803
530	11121	30766
531	11143	30749
532	11158	30711
533	11171	30669
534	11186	30633
535	11202	30596
536	11216	30558
537	11231	30521
538	11246	30485
539	11262	30450
540	11278	30416
541	11293	30380
542	11308	30344
543	11325	30312
544	11340	30275
545	11355	30238
546	11370	30204
547	11384	30165
548	11400	30130
549	11416	30097
550	11436	30074
551	11447	30027
552	11462	29993
553	11476	29956
554	11492	29921
555	11508	29887
556	11523	29853
557	11543	29831
558	11558	29796
559	11574	29762
560	11589	29728
561	11605	29693
562	11620	29660
563	11635	29626
564	11651	29591
565	11666	29559
566	11682	29525
567	11697	29491
568	11711	29454
569	11726	29420
570	11749	29404
571	11773	29392
572	11799	29386
573	11835	29402
574	11858	29389
575	11882	29376
576	11903	29356
577	11938	29371
578	11966	29367
579	11986	29346
580	12006	29324
581	12028	29307
582	12054	29298
583	12082	29296
584	12106	29282
585	12129	29267
586	12151	29249
587	12217	29338
588	12271	29398
589	12350	29516
590	12436	29649
591	12479	29681
592	12521	29709
593	12545	29696
594	12600	29754
595	12624	29740
596	12643	29712
597	12660	29681
598	12678	29653
599	12696	29625
600	12714	29595
601	12735	29574
602	12752	29544
603	12775	29526
604	12796	29506
605	12814	29478
606	12835	29455
607	12860	29442
608	12876	29411
609	12893	29380
610	12908	29345
611	12928	29321
612	12945	29291
613	12960	29255
614	12977	29225
615	12993	29193
616	13008	29158
617	13023	29123
618	13038	29089
619	13053	29054
620	13068	29019
621	13083	28985
622	13097	28948
623	13111	28913
624	13127	28880
625	13142	28847
626	13158	28813
627	13173	28779
628	13187	28745
629	13202	28710
630	13218	28679
631	13236	28650
632	13253	28620
633	13268	28587
634	13283	28553
635	13298	28520
636	13313	28487
637	13331	28459
638	13346	28426
639	13360	28391
640	13374	28355
641	13391	28327
642	13406	28293
643	13421	28260
644	13436	28227
